title,length,avg_length
TELEGRAPH VOYAGE,148,148.0000
COLOR PHILADELPHIA,149,148.3333
HOLOCAUST HIGHBALL,149,148.6667
MINDS TRUMAN,149,149.0000
NIGHTMARE CHILL,149,149.0000
RIVER OUTLAW,149,149.0000
SPIRIT FLINTSTONES,149,149.0000
ALI FOREVER,150,149.3333
BINGO TALENTED,150,149.6667
CHRISTMAS MOONSHINE,150,150.0000
CLEOPATRA DEVIL,150,150.0000
GRINCH MASSAGE,150,150.0000
HYSTERICAL GRAIL,150,150.0000
RUSHMORE MERMAID,150,150.0000
SATURDAY LAMBS,150,150.0000
BEETHOVEN EXORCIST,151,150.3333
CAROL TEXAS,151,150.6667
HUNCHBACK IMPOSSIBLE,151,151.0000
MASKED BUBBLE,151,151.0000
SCHOOL JACKET,151,151.0000
SPOILERS HELLFIGHTERS,151,151.0000
STRAIGHT HOURS,151,151.0000
CENTER DINOSAUR,152,151.3333
ELIZABETH SHANE,152,151.6667
LUCK OPUS,152,152.0000
SISTER FREDDY,152,152.0000
TELEMARK HEARTBREAKERS,152,152.0000
TOURIST PELICAN,152,152.0000
TUXEDO MILE,152,152.0000
TWISTED PIRATES,152,152.0000
WAGON JAWS,152,152.0000
APOLLO TEEN,153,152.3333
BABY HALL,153,152.6667
CROSSROADS CASUALTIES,153,153.0000
EDGE KISSING,153,153.0000
GOLDMINE TYCOON,153,153.0000
LEATHERNECKS DWARFS,153,153.0000
RIGHT CRANES,153,153.0000
ROLLERCOASTER BRINGING,153,153.0000
RULES HUMAN,153,153.0000
DOUBTFIRE LABYRINTH,154,153.3333
DURHAM PANKY,154,153.6667
GOLD RIVER,154,154.0000
RAGING AIRPLANE,154,154.0000
SANTA PARIS,154,154.0000
SASSY PACKER,154,154.0000
SHREK LICENSE,154,154.0000
ELF MURDER,155,154.3333
FAMILY SWEET,155,154.6667
GRAPES FURY,155,155.0000
LOLITA WORLD,155,155.0000
PSYCHO SHRUNK,155,155.0000
TADPOLE PARK,155,155.0000
FINDING ANACONDA,156,155.3333
GRADUATE LORD,156,155.6667
OPERATION OPERATION,156,156.0000
SLIPPER FIDELITY,156,156.0000
HOBBIT ALIEN,157,156.3333
INDEPENDENCE HOTEL,157,156.6667
MULHOLLAND BEAST,157,157.0000
PAST SUICIDES,157,157.0000
TOOTSIE PILOT,157,157.0000
VOLCANO TEXAS,157,157.0000
ENOUGH RAGING,158,157.3333
FEVER EMPIRE,158,157.6667
FOOL MOCKINGBIRD,158,158.0000
MONTEREY LABYRINTH,158,158.0000
ROAD ROXANNE,158,158.0000
SECRETARY ROUGE,158,158.0000
DRIVER ANNIE,159,158.3333
FRANKENSTEIN STRANGER,159,158.6667
MALKOVICH PET,159,159.0000
NEWSIES STORY,159,159.0000
POSEIDON FOREVER,159,159.0000
WEST LION,159,159.0000
BEAR GRACELAND,160,159.3333
IGBY MAKER,160,159.6667
MULAN MOON,160,160.0000
MUMMY CREATURES,160,160.0000
PEACH INNOCENT,160,160.0000
STOCK GLASS,160,160.0000
BROOKLYN DESERT,161,160.3333
DADDY PITTSBURGH,161,160.6667
GABLES METROPOLIS,161,161.0000
KILLER INNOCENT,161,161.0000
MASSAGE IMAGE,161,161.0000
METAL ARMAGEDDON,161,161.0000
NEIGHBORS CHARADE,161,161.0000
OLEANDER CLUE,161,161.0000
WASH HEAVENLY,161,161.0000
BADMAN DAWN,162,161.3333
BIRCH ANTITRUST,162,161.6667
LOVERBOY ATTACKS,162,162.0000
MIRACLE VIRTUAL,162,162.0000
ROSES TREASURE,162,162.0000
BIRD INDEPENDENCE,163,162.3333
CASPER DRAGONFLY,163,162.6667
EVERYONE CRAFT,163,163.0000
GILMORE BOILED,163,163.0000
KISS GLORY,163,163.0000
QUEEN LUKE,163,163.0000
STORY SIDE,163,163.0000
CLERKS ANGELS,164,163.3333
MISSION ZOOLANDER,164,163.6667
UNITED PILOT,164,164.0000
VIRGINIAN PLUTO,164,164.0000
CITIZEN SHREK,165,164.3333
DARLING BREAKING,165,164.6667
MASSACRE USUAL,165,165.0000
SONG HEDWIG,165,165.0000
SPEAKEASY DATE,165,165.0000
CONTACT ANONYMOUS,166,165.3333
GREEDY ROOTS,166,165.6667
MINE TITANS,166,166.0000
MOTIONS DETAILS,166,166.0000
MURDER ANTITRUST,166,166.0000
CAMPUS REMEMBER,167,166.3333
ESCAPE METROPOLIS,167,166.6667
EXORCIST STING,167,167.0000
INCH JET,167,167.0000
LESSON CLEOPATRA,167,167.0000
REQUIEM TYCOON,167,167.0000
SHOW LORD,167,167.0000
ANTITRUST TOMATOES,168,167.3333
DYING MAKER,168,167.6667
HAROLD FRENCH,168,168.0000
TRANSLATION SUMMER,168,168.0000
AGENT TRUMAN,169,168.3333
BREAKING HOME,169,168.6667
HEDWIG ALTER,169,169.0000
KENTUCKIAN GIANT,169,169.0000
OUTBREAK DIVINE,169,169.0000
SOUP WISDOM,169,169.0000
ARTIST COLDBLOODED,170,169.3333
ATLANTIS CAUSE,170,169.6667
DRAGON SQUAD,170,170.0000
TRADING PINOCCHIO,170,170.0000
DUFFEL APOCALYPSE,171,170.3333
JERICHO MULAN,171,170.6667
KRAMER CHOCOLATE,171,171.0000
MAGNOLIA FORRESTER,171,171.0000
MOONSHINE CABIN,171,171.0000
ROXANNE REBEL,171,171.0000
TRAMP OTHERS,171,171.0000
WORLD LEATHERNECKS,171,171.0000
CONNECTICUT TRAMP,172,171.3333
CREEPERS KANE,172,171.6667
EYES DRIVING,172,172.0000
IDAHO LOVE,172,172.0000
JERK PAYCHECK,172,172.0000
NORTHWEST POLISH,172,172.0000
TIGHTS DAWN,172,172.0000
UNCUT SUICIDES,172,172.0000
BALLROOM MOCKINGBIRD,173,172.3333
CONQUERER NUTS,173,172.6667
FIRE WOLVES,173,173.0000
GLADIATOR WESTWARD,173,173.0000
PIZZA JUMANJI,173,173.0000
TALENTED HOMICIDE,173,173.0000
VELVET TERMINATOR,173,173.0000
EVOLUTION ALTER,174,173.3333
ITALIAN AFRICAN,174,173.6667
JADE BUNCH,174,174.0000
LIGHTS DEER,174,174.0000
UPRISING UPTOWN,174,174.0000
VIETNAM SMOOCHY,174,174.0000
BEAUTY GREASE,175,174.3333
DRIVING POLISH,175,174.6667
LAWRENCE LOVE,175,175.0000
MODEL FISH,175,175.0000
PATTON INTERVIEW,175,175.0000
SPLASH GUMP,175,175.0000
BRAVEHEART HUMAN,176,175.3333
CAPER MOTIONS,176,175.6667
CYCLONE FAMILY,176,176.0000
DRACULA CRYSTAL,176,176.0000
ENTRAPMENT SATISFACTION,176,176.0000
GATHERING CALENDAR,176,176.0000
GREEK EVERYONE,176,176.0000
HOOSIERS BIRDCAGE,176,176.0000
SWEDEN SHINING,176,176.0000
WRATH MILE,176,176.0000
DOUBLE WRATH,177,176.3333
DOZEN LION,177,176.6667
EMPIRE MALKOVICH,177,177.0000
MANCHURIAN CURTAIN,177,177.0000
QUEST MUSSOLINI,177,177.0000
RIDER CADDYSHACK,177,177.0000
DROP WATERFRONT,178,177.3333
EXPRESS LONELY,178,177.6667
FURY MURDER,178,178.0000
IMAGE PRINCESS,178,178.0000
INNOCENT USUAL,178,178.0000
MADNESS ATTACKS,178,178.0000
NAME DETECTIVE,178,178.0000
ROCKETEER MOTHER,178,178.0000
WARDROBE PHANTOM,178,178.0000
WRONG BEHAVIOR,178,178.0000
ANONYMOUS HUMAN,179,178.3333
BORN SPINAL,179,178.6667
CASUALTIES ENCINO,179,179.0000
CAUSE DATE,179,179.0000
FLIGHT LIES,179,179.0000
KICK SAVANNAH,179,179.0000
POTLUCK MIXED,179,179.0000
REDEMPTION COMFORTS,179,179.0000
SLACKER LIAISONS,179,179.0000
TEXAS WATCH,179,179.0000
TORQUE BOUND,179,179.0000
VIRGIN DAISY,179,179.0000
YOUTH KICK,179,179.0000
ALLEY EVOLUTION,180,179.3333
CONFIDENTIAL INTERVIEW,180,179.6667
IMPACT ALADDIN,180,180.0000
MIXED DOORS,180,180.0000
MUSSOLINI SPOILERS,180,180.0000
NASH CHOCOLAT,180,180.0000
SOMETHING DUCK,180,180.0000
ANALYZE HOOSIERS,181,180.3333
HAUNTING PIANIST,181,180.6667
HOTEL HAPPINESS,181,181.0000
INTRIGUE WORST,181,181.0000
JACKET FRISCO,181,181.0000
LAWLESS VISION,181,181.0000
LOVE SUICIDES,181,181.0000
RUNAWAY TENENBAUMS,181,181.0000
STAR OPERATION,181,181.0000
WILD APOLLO,181,181.0000
BAKED CLEOPATRA,182,181.3333
MONSOON CAUSE,182,181.6667
RECORDS ZORRO,182,182.0000
REDS POCUS,182,182.0000
SATURN NAME,182,182.0000
SEARCHERS WAIT,182,182.0000
CATCH AMISTAD,183,182.3333
FRONTIER CABIN,183,182.6667
SCALAWAG DUCK,183,183.0000
WIFE TURN,183,183.0000
YOUNG LANGUAGE,183,183.0000
CONSPIRACY SPIRIT,184,183.3333
CRYSTAL BREAKING,184,183.6667
KING EVOLUTION,184,184.0000
MOONWALKER FOOL,184,184.0000
SMOOCHY CONTROL,184,184.0000
SONS INTERVIEW,184,184.0000
SORORITY QUEEN,184,184.0000
THEORY MERMAID,184,184.0000
CHICAGO NORTH,185,184.3333
CONTROL ANTHEM,185,184.6667
DARN FORRESTER,185,185.0000
GANGS PRIDE,185,185.0000
HOME PITY,185,185.0000
MUSCLE BRIGHT,185,185.0000
POND SEATTLE,185,185.0000
SOLDIERS EVOLUTION,185,185.0000
SWEET BROTHERHOOD,185,185.0000
WORST BANGER,185,185.0000
