title,rating
STREAK RIDGEMONT,PG-13
STRICTLY SCARFACE,PG-13
SUICIDES SILENCE,G
SUMMER SCARFACE,G
SUNDANCE INVASION,NC-17
SUNRISE LEAGUE,PG-13
SUNSET RACER,NC-17
SWARM GOLD,PG-13
SWEETHEARTS SUSPECTS,G
TARZAN VIDEOTAPE,PG-13
TAXI KICK,PG-13
TEEN APOLLO,G
TELEMARK HEARTBREAKERS,PG-13
TENENBAUMS COMMAND,PG-13
TEXAS WATCH,NC-17
THEORY MERMAID,PG-13
THIEF PELICAN,PG-13
THIN SAGEBRUSH,PG-13
TIMBERLAND SKY,G
TORQUE BOUND,G
TOURIST PELICAN,PG-13
TOWERS HURRICANE,NC-17
TRACY CIDER,G
TRAFFIC HOBBIT,G
TRAINSPOTTING STRANGERS,PG-13
TRANSLATION SUMMER,PG-13
TRAP GUYS,G
TREASURE COMMAND,PG-13
TRIP NEWTON,PG-13
TRUMAN CRAZY,G
TURN STAR,G
TYCOON GATHERING,G
UNBREAKABLE KARATE,G
UNCUT SUICIDES,PG-13
UNDEFEATED DALMATIONS,PG-13
UNTOUCHABLES SUNRISE,NC-17
UPRISING UPTOWN,NC-17
USUAL UNTOUCHABLES,PG-13
VALENTINE VANISHING,PG-13
VALLEY PACKER,G
VAMPIRE WHALE,NC-17
VANILLA DAY,NC-17
VANISHING ROCKY,NC-17
VARSITY TRIP,NC-17
VICTORY ACADEMY,PG-13
VIDEOTAPE ARSENIC,NC-17
VIETNAM SMOOCHY,PG-13
VILLAIN DESPERATE,PG-13
VIRGIN DAISY,PG-13
VIRTUAL SPOILERS,NC-17
VISION TORQUE,PG-13
VOICE PEACH,PG-13
VOLCANO TEXAS,NC-17
VOYAGE LEGALLY,PG-13
WAIT CIDER,PG-13
WAKE JAWS,G
WANDA CHAMBER,PG-13
WAR NOTTING,G
WARDROBE PHANTOM,G
WARLOCK WEREWOLF,G
WARS PLUTO,G
WATERFRONT DELIVERANCE,G
WATERSHIP FRONTIER,G
WEREWOLF LOLA,G
WEST LION,G
WESTWARD SEABISCUIT,NC-17
WHALE BIKINI,PG-13
WHISPERER GIANT,PG-13
WIFE TURN,NC-17
WITCHES PANIC,NC-17
WOLVES DESIRE,NC-17
WONDERFUL DROP,NC-17
WONKA SEA,NC-17
WORLD LEATHERNECKS,PG-13
WRATH MILE,NC-17
WRONG BEHAVIOR,PG-13
WYOMING STORM,PG-13
YOUNG LANGUAGE,G
YOUTH KICK,NC-17
ZHIVAGO CORE,NC-17
ZORRO ARK,NC-17
