title,length,priority
PICKUP DRIVING,77,3
PILOT HOOSIERS,50,3
PITY BOUND,60,3
PLUTO OLEANDER,84,3
POLISH BROOKLYN,61,3
PREJUDICE OLEANDER,98,3
PRIMARY GLASS,53,3
PRINCESS GIANT,71,3
PULP BEVERLY,89,3
PURPLE MOVIE,88,3
RAIDERS ANTITRUST,82,3
RAINBOW SHOCK,74,3
RANDOM GO,73,3
REAR TRADING,97,3
REBEL AIRPORT,73,3
REIGN GENTLEMEN,82,3
RESERVOIR ADAPTATION,61,3
REUNION WITCHES,63,3
RIDGEMONT SUBMARINE,46,3
RINGS HEARTBREAKERS,58,3
ROMAN PUNK,81,3
ROOM ROMAN,60,3
ROOTS REMEMBER,89,3
RUSH GOODFELLAS,48,3
SABRINA MIDNIGHT,99,3
SADDLE ANTITRUST,80,3
SALUTE APOLLO,73,3
SATISFACTION CONFIDENTIAL,75,3
SAVANNAH TOWN,84,3
SEA VIRGIN,80,3
SECRET GROUNDHOG,90,3
SENSE GREEK,54,3
SENSIBILITY REAR,98,3
SHAKESPEARE SADDLE,60,3
SHANE DARKNESS,93,3
SHANGHAI TYCOON,47,3
SHAWSHANK BUBBLE,80,3
SHOCK CABIN,79,3
SHOOTIST SUPERFLY,67,3
SIDE ARK,52,3
SILENCE KANE,67,3
SILVERADO GOLDFINGER,74,3
SIMON NORTH,51,3
SLEEPLESS MONSOON,64,3
SLEUTH ORIENT,87,3
SLING LUKE,84,3
SMILE EARRING,60,3
SMOKING BARBARELLA,50,3
SNATCHERS MONTEZUMA,74,3
SNOWMAN ROLLERCOASTER,62,3
SPARTACUS CHEAPER,52,3
SPIKING ELEMENT,79,3
STAGE WORLD,85,3
STAMPEDE DISTURBING,75,3
STEPMOM DREAM,48,3
STING PERSONAL,93,3
STONE FIRE,94,3
STORM HAPPINESS,57,3
STREETCAR INTENTIONS,73,3
SUICIDES SILENCE,93,3
SUMMER SCARFACE,53,3
SUNDANCE INVASION,92,3
SUNSET RACER,48,3
SUPER WYOMING,58,3
SUSPECTS QUILLS,47,3
TARZAN VIDEOTAPE,91,3
TAXI KICK,64,3
TEEN APOLLO,74,3
TEMPLE ATTRACTION,71,3
TENENBAUMS COMMAND,99,3
TEQUILA PAST,53,3
TERMINATOR CLUB,88,3
THIN SAGEBRUSH,53,3
TIMBERLAND SKY,69,3
TITANS JERK,91,3
TOMATOES HELLFIGHTERS,68,3
TRAIN BUNCH,71,3
TREATMENT JEKYLL,87,3
TRIP NEWTON,64,3
TROJAN TOMORROW,52,3
TROUBLE DATE,61,3
TRUMAN CRAZY,92,3
TURN STAR,80,3
TYCOON GATHERING,82,3
UNBREAKABLE KARATE,62,3
UNFAITHFUL KILL,78,3
UPTOWN YOUNG,84,3
VALENTINE VANISHING,48,3
VALLEY PACKER,73,3
VARSITY TRIP,85,3
VERTIGO NORTHWEST,90,3
VICTORY ACADEMY,64,3
VILLAIN DESPERATE,76,3
VISION TORQUE,59,3
VOYAGE LEGALLY,78,3
WAKE JAWS,73,3
WAR NOTTING,80,3
WARLOCK WEREWOLF,83,3
WASTELAND DIVINE,85,3
WATCH TRACY,78,3
WATERFRONT DELIVERANCE,61,3
WEDDING APOLLO,70,3
WEREWOLF LOLA,79,3
WESTWARD SEABISCUIT,52,3
WHISPERER GIANT,59,3
WINDOW SIDE,85,3
WISDOM WORKER,98,3
WIZARD COLDBLOODED,75,3
WOLVES DESIRE,55,3
WONKA SEA,85,3
WORKING MICROCOSMOS,74,3
YENTL IDAHO,86,3
ZORRO ARK,50,3
